epoch,train_loss,train_acc,epoch_time
1,0.20511537165081165,93.65666666666667,14.660257816314697
2,0.08477072841472932,97.39166666666667,12.961950540542603
3,0.06100489298970913,98.07333333333334,12.877660989761353
4,0.04760412243083179,98.445,12.953908920288086
5,0.04015663880406187,98.69,12.992573499679565
6,0.030100605679786518,98.99666666666667,19.10443902015686
7,0.028943183074053972,99.06666666666666,16.842955589294434
8,0.024965442864242838,99.23333333333333,13.019547700881958
9,0.021866559174035353,99.27666666666667,12.988035440444946
10,0.020024942403811277,99.32,13.166627168655396
